id,Start Test,Finish test,Recipe Id,Dut Id,Recipe Sensor Type,Recipe X0,Recipe Y0,Recipe DX,Recipe DY,Recipe speed X axis,Recipe speed Y axis,TimeDB
2,2023-10-02 14:09:58,2023-10-02 14:09:58,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:12 PM
3,2023-10-02 14:10:37,2023-10-02 14:10:37,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:37 PM
4,2023-10-02 14:10:43,2023-10-02 14:10:43,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:43 PM
5,2023-10-02 14:10:45,2023-10-02 14:10:45,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:45 PM
6,2023-10-02 14:10:47,2023-10-02 14:10:47,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:47 PM
7,2023-10-02 14:10:48,2023-10-02 14:10:48,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:48 PM
8,2023-10-02 14:10:50,2023-10-02 14:10:50,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:50 PM
9,2023-10-02 14:10:52,2023-10-02 14:10:52,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:52 PM
10,2023-10-02 14:10:53,2023-10-02 14:10:53,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:53 PM
11,2023-10-02 14:10:55,2023-10-02 14:10:55,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:55 PM
12,2023-10-02 14:10:57,2023-10-02 14:10:57,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:57 PM
13,2023-10-02 14:10:58,2023-10-02 14:10:58,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:10:58 PM
14,2023-10-02 14:11:00,2023-10-02 14:11:00,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:11:00 PM
15,2023-10-02 14:11:01,2023-10-02 14:11:01,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:11:01 PM
16,2023-10-02 14:11:03,2023-10-02 14:11:03,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:11:03 PM
17,2023-10-02 14:11:04,2023-10-02 14:11:04,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:11:04 PM
18,2023-10-02 14:11:06,2023-10-02 14:11:06,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:11:06 PM
19,2023-10-02 14:11:07,2023-10-02 14:11:07,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:11:07 PM
20,2023-10-02 14:11:09,2023-10-02 14:11:09,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:11:09 PM
21,2023-10-02 14:11:10,2023-10-02 14:11:10,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:11:10 PM
22,2023-10-02 14:11:12,2023-10-02 14:11:12,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:11:12 PM
23,2023-10-02 14:11:13,2023-10-02 14:11:13,recipe x2,,FSS,40,40,50,50,230,230,10/2/2023 2:11:13 PM
